bin_lo,bin_hi,count,avg_conf,accuracy,gap,method
0.0,0.06666666666666667,0,,,,standard
0.06666666666666667,0.13333333333333333,0,,,,standard
0.13333333333333333,0.2,0,,,,standard
0.2,0.26666666666666666,0,,,,standard
0.26666666666666666,0.3333333333333333,1,0.30979764461517334,0.0,0.30979764461517334,standard
0.3333333333333333,0.4,2,0.3885635435581207,0.0,0.3885635435581207,standard
0.4,0.4666666666666667,7,0.43455591797828674,0.8571428571428571,0.42258693916457035,standard
0.4666666666666667,0.5333333333333333,14,0.49436259269714355,0.2857142857142857,0.20864830698285786,standard
0.5333333333333333,0.6,36,0.5693772435188293,0.5833333333333334,0.013956089814504025,standard
0.6,0.6666666666666666,34,0.6348212361335754,0.5,0.13482123613357544,standard
0.6666666666666666,0.7333333333333333,35,0.7011292576789856,0.7428571428571429,0.04172788517815729,standard
0.7333333333333333,0.8,36,0.7738381624221802,0.6666666666666666,0.10717149575551355,standard
0.8,0.8666666666666667,58,0.8351826667785645,0.8275862068965517,0.0075964598820127405,standard
0.8666666666666667,0.9333333333333333,101,0.9046390652656555,0.9207920792079208,0.016153013942265315,standard
0.9333333333333333,1.0,9676,0.9983805418014526,0.9981397271599834,0.00024081464146918918,standard
0.0,0.06666666666666667,0,,,,mc_dropout
0.06666666666666667,0.13333333333333333,0,,,,mc_dropout
0.13333333333333333,0.2,0,,,,mc_dropout
0.2,0.26666666666666666,1,0.21956641972064972,0.0,0.21956641972064972,mc_dropout
0.26666666666666666,0.3333333333333333,3,0.29227471351623535,0.6666666666666666,0.3743919531504313,mc_dropout
0.3333333333333333,0.4,11,0.37955033779144287,0.45454545454545453,0.07499511675401166,mc_dropout
0.4,0.4666666666666667,19,0.42912712693214417,0.3157894736842105,0.11333765324793366,mc_dropout
0.4666666666666667,0.5333333333333333,48,0.5016666650772095,0.5625,0.06083333492279053,mc_dropout
0.5333333333333333,0.6,62,0.5686019659042358,0.7258064516129032,0.1572044857086674,mc_dropout
0.6,0.6666666666666666,65,0.6343084573745728,0.8,0.1656915426254273,mc_dropout
0.6666666666666666,0.7333333333333333,104,0.7020460367202759,0.8557692307692307,0.15372319404895485,mc_dropout
0.7333333333333333,0.8,102,0.7661814093589783,0.9117647058823529,0.14558329652337465,mc_dropout
0.8,0.8666666666666667,170,0.8378710746765137,0.9882352941176471,0.15036421944113343,mc_dropout
0.8666666666666667,0.9333333333333333,433,0.9051837921142578,0.9838337182448037,0.07864992613054589,mc_dropout
0.9333333333333333,1.0,8982,0.9919018745422363,0.9997773324426631,0.007875457900426763,mc_dropout
